#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
220-224,28.68271755016905,32.6,22.8,36.6,11.4,37.4,SRR25023302_2_val_2_fastqc_2
225-229,26.66601377427744,29.6,19.2,35.4,9.8,37.0,SRR25023302_2_val_2_fastqc_2
230-234,26.311797743248377,29.2,18.2,35.4,10.0,37.0,SRR25023302_2_val_2_fastqc_2
235-239,25.13190190178853,27.2,15.4,34.6,9.4,37.0,SRR25023302_2_val_2_fastqc_2
240-244,24.872967997595445,26.2,15.4,34.4,9.0,37.0,SRR25023302_2_val_2_fastqc_2
245-249,25.22671225447317,26.2,17.0,34.2,9.8,37.0,SRR25023302_2_val_2_fastqc_2
1,33.54776308910299,34.0,34.0,34.0,34.0,34.0,SRR25023303_1_val_1_fastqc_1
2,33.57384793487191,34.0,34.0,34.0,34.0,34.0,SRR25023303_1_val_1_fastqc_1
3,33.657386660691614,34.0,34.0,34.0,34.0,34.0,SRR25023303_1_val_1_fastqc_1
4,33.70578459929793,34.0,34.0,34.0,34.0,34.0,SRR25023303_1_val_1_fastqc_1
5,33.669164986182686,34.0,34.0,34.0,34.0,34.0,SRR25023303_1_val_1_fastqc_1
6,37.32644334901785,38.0,38.0,38.0,37.0,38.0,SRR25023303_1_val_1_fastqc_1
7,37.34241915004855,38.0,38.0,38.0,37.0,38.0,SRR25023303_1_val_1_fastqc_1
8,36.98472253342296,38.0,38.0,38.0,35.0,38.0,SRR25023303_1_val_1_fastqc_1
9,37.04822242139069,38.0,38.0,38.0,36.0,38.0,SRR25023303_1_val_1_fastqc_1
10-14,36.96259018597356,38.0,37.4,38.0,35.4,38.0,SRR25023303_1_val_1_fastqc_1
15-19,37.090124729255365,38.0,37.8,38.0,35.8,38.0,SRR25023303_1_val_1_fastqc_1
20-24,37.02943177714834,38.0,37.6,38.0,35.8,38.0,SRR25023303_1_val_1_fastqc_1
25-29,36.8599569640657,38.0,37.0,38.0,34.6,38.0,SRR25023303_1_val_1_fastqc_1
30-34,36.81100872149277,38.0,37.0,38.0,34.8,38.0,SRR25023303_1_val_1_fastqc_1
35-39,36.78153129103877,38.0,37.0,38.0,34.6,38.0,SRR25023303_1_val_1_fastqc_1
40-44,36.73412358981069,38.0,37.0,38.0,34.4,38.0,SRR25023303_1_val_1_fastqc_1
45-49,36.64064298778469,38.0,37.0,38.0,34.0,38.0,SRR25023303_1_val_1_fastqc_1
50-54,36.67833820359874,38.0,37.0,38.0,34.0,38.0,SRR25023303_1_val_1_fastqc_1
55-59,36.58595185797183,38.0,37.0,38.0,34.0,38.0,SRR25023303_1_val_1_fastqc_1
