#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
220-224,33.97748382879228,37.0,34.0,38.0,24.0,"38.0
",SRR25023040_1_val_1_fastqc_1
225-229,33.879162278628385,37.0,34.0,37.8,23.6,"38.0
",SRR25023040_1_val_1_fastqc_1
230-234,31.971996782928407,36.0,29.6,37.6,19.0,"38.0
",SRR25023040_1_val_1_fastqc_1
235-239,31.038450215457125,35.4,27.8,37.4,13.8,"37.8
",SRR25023040_1_val_1_fastqc_1
240-244,28.71047239983177,33.0,23.0,37.0,9.6,"37.2
",SRR25023040_1_val_1_fastqc_1
245-249,27.169575803965653,29.8,19.8,35.8,10.2,"37.0
",SRR25023040_1_val_1_fastqc_1
1,32.24176394293126,34.0,34.0,34.0,27.0,"34.0
",SRR25023040_2_val_2_fastqc_2
2,31.807575908743225,34.0,34.0,34.0,24.0,"34.0
",SRR25023040_2_val_2_fastqc_2
3,32.485263893046,34.0,34.0,34.0,31.0,"34.0
",SRR25023040_2_val_2_fastqc_2
4,32.26358708304234,34.0,34.0,34.0,27.0,"34.0
",SRR25023040_2_val_2_fastqc_2
5,32.83037014865808,34.0,34.0,34.0,31.0,"34.0
",SRR25023040_2_val_2_fastqc_2
6,36.08974691542785,38.0,37.0,38.0,34.0,"38.0
",SRR25023040_2_val_2_fastqc_2
7,36.04511623266488,38.0,37.0,38.0,33.0,"38.0
",SRR25023040_2_val_2_fastqc_2
8,34.62726395955968,38.0,36.0,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
9,35.09532741361535,38.0,36.0,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
10-14,35.51888789118361,38.0,36.2,38.0,30.4,"38.0
",SRR25023040_2_val_2_fastqc_2
15-19,35.15748445242608,38.0,35.8,38.0,28.6,"38.0
",SRR25023040_2_val_2_fastqc_2
20-24,35.629605374002,38.0,36.2,38.0,30.6,"38.0
",SRR25023040_2_val_2_fastqc_2
25-29,35.34769089399641,38.0,36.0,38.0,29.4,"38.0
",SRR25023040_2_val_2_fastqc_2
30-34,35.256980097359055,38.0,35.8,38.0,28.6,"38.0
",SRR25023040_2_val_2_fastqc_2
35-39,35.18958018528238,38.0,35.8,38.0,27.8,"38.0
",SRR25023040_2_val_2_fastqc_2
40-44,35.30955303518108,38.0,36.0,38.0,29.4,"38.0
",SRR25023040_2_val_2_fastqc_2
45-49,34.93980405044247,37.6,35.6,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
50-54,34.89533672735939,37.0,35.0,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
55-59,34.74961531551533,37.0,34.6,38.0,26.2,"38.0
",SRR25023040_2_val_2_fastqc_2
60-64,34.93604513199719,37.0,35.0,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
65-69,34.80874607364045,37.0,34.8,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
70-74,35.044979832018804,37.0,35.6,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
75-79,34.97080125709074,37.0,35.0,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
80-84,34.8872841946273,37.0,35.0,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
85-89,34.91485226636716,37.0,35.0,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
90-94,34.66099145905292,37.0,34.6,38.0,26.6,"38.0
",SRR25023040_2_val_2_fastqc_2
95-99,34.72147800810201,37.0,34.6,38.0,27.0,"38.0
",SRR25023040_2_val_2_fastqc_2
100-104,34.53952032553808,37.0,34.4,38.0,26.4,"38.0
",SRR25023040_2_val_2_fastqc_2
105-109,34.780897792850645,37.0,34.6,38.0,27.2,"38.0
",SRR25023040_2_val_2_fastqc_2
110-114,34.37937330589725,37.0,34.0,38.0,25.6,"38.0
",SRR25023040_2_val_2_fastqc_2
115-119,34.42572213543891,37.0,34.0,38.0,25.6,"38.0
",SRR25023040_2_val_2_fastqc_2
120-124,34.53565922904894,37.0,34.4,38.0,25.8,"38.0
",SRR25023040_2_val_2_fastqc_2
125-129,34.41156771984718,37.0,34.0,38.0,25.8,"38.0
",SRR25023040_2_val_2_fastqc_2
130-134,34.488372300569615,37.0,34.4,38.0,26.0,"38.0
",SRR25023040_2_val_2_fastqc_2
135-139,34.556963429553875,37.0,34.4,38.0,26.0,"38.0
",SRR25023040_2_val_2_fastqc_2
140-144,34.60437865356003,37.0,34.6,38.0,26.0,"38.0
",SRR25023040_2_val_2_fastqc_2
145-149,34.70877552418612,37.0,34.8,38.0,27.6,"38.0
",SRR25023040_2_val_2_fastqc_2
150-154,34.396504097722456,37.0,34.4,38.0,26.4,"38.0
",SRR25023040_2_val_2_fastqc_2
155-159,33.75868534043726,37.0,33.4,38.0,23.4,"38.0
",SRR25023040_2_val_2_fastqc_2
160-164,34.47115982269342,37.0,34.2,38.0,26.6,"38.0
",SRR25023040_2_val_2_fastqc_2
165-169,34.05396111507584,37.0,34.2,38.0,25.2,"38.0
",SRR25023040_2_val_2_fastqc_2
170-174,34.55115505209606,37.0,34.8,38.0,26.6,"38.0
",SRR25023040_2_val_2_fastqc_2
175-179,34.80483717047967,37.0,35.0,38.0,28.0,"38.0
",SRR25023040_2_val_2_fastqc_2
180-184,33.855920117476266,36.8,33.6,37.8,25.6,"37.8
",SRR25023040_2_val_2_fastqc_2
185-189,33.95590010881996,37.0,34.0,38.0,24.8,"38.0
",SRR25023040_2_val_2_fastqc_2
190-194,34.372548262306246,37.0,34.0,38.0,26.6,"38.0
",SRR25023040_2_val_2_fastqc_2
